,frameNo,topLeft,bottomRight
0,247,"(629, 0)","(971, 277)"
0,248,"(619, 0)","(963, 279)"
0,248,"(619, 0)","(963, 279)"
0,248,"(91, 176)","(435, 455)"
0,248,"(619, 0)","(963, 279)"
0,248,"(619, 0)","(963, 279)"
0,248,"(619, 0)","(963, 279)"
0,249,"(622, 0)","(966, 279)"
0,249,"(622, 0)","(966, 279)"
0,249,"(75, 173)","(419, 452)"
0,249,"(622, 0)","(966, 279)"
0,249,"(622, 0)","(966, 279)"
0,249,"(622, 0)","(966, 279)"
0,250,"(632, 0)","(978, 281)"
0,250,"(632, 0)","(978, 281)"
0,250,"(87, 205)","(433, 486)"
0,250,"(632, 0)","(978, 281)"
0,250,"(632, 0)","(978, 281)"
0,250,"(632, 0)","(978, 281)"
0,251,"(643, 0)","(989, 281)"
0,251,"(643, 0)","(989, 281)"
0,251,"(80, 207)","(426, 488)"
0,251,"(643, 0)","(989, 281)"
0,251,"(643, 0)","(989, 281)"
0,251,"(643, 0)","(989, 281)"
0,252,"(657, 0)","(1005, 283)"
0,252,"(657, 0)","(1005, 283)"
0,252,"(0, 111)","(348, 394)"
0,252,"(657, 0)","(1005, 283)"
0,252,"(657, 0)","(1005, 283)"
0,252,"(657, 0)","(1005, 283)"
