country,HPC,manufacture,year
United States,Odyssey - PowerEdge M600 Cluster,Dell EMC,2010
Hong Kong,BladeCenter HS22 Cluster,IBM,2010
Netherlands,xSeries x3650M2 Cluster Xeon QC GT 2.53 GHz,IBM,2010
United Kingdom,SGI Altix ICE 8200EX Xeon X5570/X5670 4/6-core 2.93 GHz,HPE,2010
France,Cluster Platform 3000 BL260c G5,HPE,2010
Norway,Stallo - Cluster Platform 3000 BL460c,HPE,2010
United States,Hyperion - Dell DCS Xanadu 2.5,Dell EMC,2010
United States,Titan - Dell DCS Xanadu 2.5,Dell EMC,2010
United States,Ansel - Dell Xanadu 3 Cluster,Dell EMC,2010
New Zealand,Cluster Platform 3000 BL2x220,HPE,2010
Germany,Cluster Platform 3000 BL460c G1,HPE,2010
India,Cluster Platform 3000 SL2x170z,HPE,2010
Japan,PRIMERGY RX200S5 Cluster,Fujitsu,2010
China,Tianhe-1A - NUDT TH MPP,NUDT,2011
China,Nebulae - Dawning TC3600 Blade,Sugon,2011
United States,Cielo - Cray XE6 8-core 2.4 GHz,Cray/HPE,2011
United States,Hopper - Cray XE6 12-core 2.1 GHz,Cray/HPE,2011
United Kingdom,HECToR - Cray XE6 12-core 2.1 GHz,Cray/HPE,2011
Sweden,Lindgren - Cray XT6m 12-Core 2.1 GHz,Cray/HPE,2011
China,Mole-8.5 - Mole-8.5 Cluster Xeon L5520 2.26 Ghz,"IPE, Nvidia, Tyan",2011
United States,Jaguar - Cray XT4 QuadCore 2.1 GHz,Cray/HPE,2011
Switzerland,Monte Rosa - Cray XT5 SixCore 2.4 GHz,Cray/HPE,2011
United States,HPC - PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160,Dell/Sun/IBM,2011
United States,Athena - Cray XT4 QuadCore 2.3 GHz,Cray/HPE,2011
Poland,Zeus - Cluster Platform 3000 BL2x220,HPE,2011
United States,Edge - Appro GreenBlade Cluster Xeon X5660 2.8Ghz,Cray/HPE,2011
United Kingdom,HECToR - Cray XT4,Cray/HPE,2011
United States,Palmetto - PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz,Dell/Sun/IBM,2011
United States,Blue Gene/Q Solution Prototype 2,IBM,2011
United States,Hera - Cray XE6 12-core 2.1 GHz,Cray/HPE,2011
United States,Tuna - Cray XT6 12-Core 2.0/2.1/2.2 GHz,Cray/HPE,2011
Netherlands,Power 575,IBM,2011
Germany,Baku - NEC HPC 140Rb-1 Cluster,NEC,2011
Germany,Cluster Platform 4000 BL685c G7,HPE,2011
Japan,T2K Open Supercomputer/Kyodai - Fujitsu Cluster HX600,Fujitsu,2011
Japan,PRIMERGY RX200 S6,Fujitsu,2011
Australia,SOLAR - Sun Blade x6048,Oracle,2011
Switzerland,Schrdinger Cluster - Sun Blade x6275,Oracle,2011
Canada,Power 575,IBM,2011
United States,Conejo - SGI Altix XE 1300 Cluster Solutions,HPE,2011
United Kingdom,Cluster Platform 3000 BL460c,HPE,2011
Switzerland,Blue Gene/P Solution,IBM,2011
United States,Blue Gene/P Solution,IBM,2011
Germany,Genius - Blue Gene/P Solution,IBM,2011
Canada,iDataPlex,IBM,2011
Russia,SKIF MSU - T-Platforms T60,SKIF/T-Platforms,2011
Sweden,Neolith - Cluster Platform 3000 DL140 Cluster,HPE,2011
United States,Edward - Cluster Platform 3000 SL2x170z,HPE,2011
Canada,Cluster Platform SL165z G7,HPE,2011
United Kingdom,xSeries x3650M2 Cluster,IBM,2011
United States,Mapache - SGI Altix XE 1300 Cluster Solutions,HPE,2011
United States,xSeries x3550 Cluster,IBM,2011
Sweden,Akka - BladeCenter HS21 Cluster,IBM,2011
France,xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz,IBM,2011
United States,xSeries x3455 Cluster Opteron,IBM,2011
United States,Magellan - iDataPlex,IBM,2011
Russia,xSeries x3650M3,IBM,2011
United States,HP ProLiant SL390s G7 Xeon X5650,HPE,2011
United States,xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz,IBM,2011
Russia,BladeCenter HS22 Cluster,IBM,2011
Germany,QPACE SFB TR Cluster,IBM,2011
United States,xSeries x3550M2 Cluster Xeon QC GT 2.26 GHz,IBM,2011
Germany,Cluster Platform 3000 BL460c G6,HPE,2011
Taiwan,HP ProLiant SL390s G7 Xeon 4C X5677,HPE,2011
United States,Cluster Platform SL170z,HPE,2011
Canada,Cluster Platform 3000 BL460c,HPE,2011
South Korea,Kraken - HP BL685cG7,HPE,2011
United States,Ds - Koi 1042G-TF Cluster,Koi Computers,2011
Japan,SGI Altix ICE 8200EX,HPE,2011
United States,Cluster Platform 4000 BL465c G6,HPE,2011
United States,Jaws - PowerEdge 1955,Dell EMC,2011
Australia,Cluster Platform 3000 BL2x220,HPE,2011
United States,Cluster Platform 3000 BL460c G1,HPE,2011
France,CEA-CCRT-Platine - Novascale 3045,Atos,2011
China,Cluster Platform 3000 BL460c G6,HPE,2011
Russia,SKIF-Cyberia - T-Platforms T-Blade 1.1/2.0,T-Platforms,2011
Saudi Arabia,Dell PowerEdge M610 Cluster,ClusterVision/Dell,2011
Germany,CMCC - Megware Saxonid 6100,MEGWARE,2011
Singapore,Fuji - BX900 Xeon X5570/X5670 2.93GHz,Fujitsu,2011
Finland,Cluster Platform 3000 BL460c G6,HPE,2011
France,Cluster Platform 3000 BL460c G1,HPE,2011
United States,Rackable(tm) C2005-TY2 Cluster,HPE,2011
Poland,Cluster Platform 3000 BL2x220,HPE,2011
United States,Michael J. Muuss Cluster (MJM) - Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB,Linux Networx,2011
United Kingdom,Cluster Platform 3000 BL460c G6,HPE,2011
Norway,Cray XT4 QuadCore 2.3 GHz,Cray/HPE,2011
Ireland,HP DL160 Cluster G6,HPE,2011
Russia,xSeries x3650 Cluster Xeon QC GT 2.66 GHz,IBM,2011
