country,HPC,manufacture,year
Sweden,Abisko - Supermicro H8QG6,Supermicro,2013
United States,Juno - Appro XtremeServer 1143H,Cray/HPE,2013
United States,Cherry Creek - Supercmicro F627G3-F Cluster,Supermicro,2013
Italy,HP ProLiant SL390s G7 Xeon 6C X5650,HPE,2013
United States,Midway - iDataPlex DX360M4,IBM,2013
United States,Cluster Platform 3000 BL280c G6,HPE,2013
Ireland,Cluster Platform SL335s Gen7,HPE,2013
United States,Cluster Platform 4000 BL465c G7,HPE,2013
Netherlands,Cluster Platform SL335s Gen7,HPE,2013
United States,Jet - Raytheon/Aspen Cluster,Raytheon/Aspen Systems,2013
Japan,Cluster Platform DL360p Gen8,HPE,2013
Australia,Vayu - Sun Blade x6048,Oracle,2013
United States,iDataPlex DX360M4,IBM,2013
France,Manny - Bullx DLC B710 Blades,Atos,2013
United States,Cray XE6 12-core 2.1 GHz,Cray/HPE,2013
Japan,xSeries x3650M3 Cluster,IBM,2013
United States,Hera - Cray XE6,Cray/HPE,2013
Sweden,Cluster Platform 3000 BL460c/SL250/ML350 Xeon E5-2670 8C 2.600GHz,HPE,2013
Japan,Earth Simulator - SX-9/E/1280M160,NEC,2013
United States,Crane - Relion Cluster,"Penguin Computing, Inc.",2013
China,Cluster Platform 4000 BL685c G7,HPE,2013
United States,HokieSpeed - SuperServer  2026GT-TRF,Supermicro,2013
United States,Cluster Platform DL160 Gen8,HPE,2013
United Kingdom,Cluster Platform DL380p Gen8,HPE,2013
Russia,MVS-100K - Cluster Platform 3000 BL460c/BL 2x220/SL390,HPE,2013
France,Blue Gene/P Solution,IBM,2013
United States,HiPerGator - Dell C6145 Cluster,Dell EMC,2013
Hong Kong,Cluster Platform SL335s Gen7,HPE,2013
Canada,Cluster Platform 4000 BL465c,HPE,2013
Japan,HA-PACS - Xtream-X GreenBlade 8204,Cray/HPE,2014
Japan,Aterui - Cray XC30,Cray/HPE,2014
Germany,Gottfried - Cray XC30,Cray/HPE,2014
Germany,Konrad - Cray XC30,Cray/HPE,2014
Japan,HA-PACS TCA - Cray 3623G4-SM Cluster,Cray/HPE,2014
Germany,MOGON - Saxonid 6100,MEGWARE,2014
Netherlands,Cartesius - Bullx DLC B710 Blades,Atos,2014
Finland,Sisu - Cray XC30,Cray/HPE,2014
Austria,VSC-2 - MEGWARE Saxonid 6100,MEGWARE,2014
South Korea,Cluster Platform DL380p Gen8,HPE,2014
Belgium,Cluster Platform SL230s Gen8,HPE,2014
United States,MRI - PowerEdge C6100 Cluster,Dell EMC,2014
United States,Faenov - Cluster Platform SL230s Gen8,HPE,2014
United States,HPC - PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165,Dell/Sun/IBM,2014
Italy,iDataPlex DX360M4,IBM,2014
United States,Cluster Platform 4000 BL685c,HPE,2014
China,xSeries x3550M3 Cluster,IBM,2014
United States,Crystal - Cray XC30,Cray/HPE,2014
Japan,System E - Cray CS300-AC,Cray/HPE,2014
China,Sunway 4000H Cluster,National Research Center of Parallel Computer Engineering & Technology,2014
China,xSeries x3650M3 Cluster,IBM,2014
Germany,Cluster Platform SL230s Gen8,HPE,2014
United States,xSeries x3550M3 Cluster,IBM,2014
Italy,iDataPlex DX360M3,IBM,2014
United States,Cluster Platform SL165z G7,HPE,2014
Canada,Guillimin Phase 2 - iDataPlex DX360M4,IBM,2014
China,xSeries x3650 Cluster,IBM,2014
Ireland,Fionn - SGI ICE X,HPE,2014
United Kingdom,xSeries x3650M4 Cluster,IBM,2014
China,Cluster Platform DL388p,HPE,2014
United Kingdom,WillowA - Bullx B510,Atos,2014
United Kingdom,WillowB - Bullx B510,Atos,2014
Canada,Guillimin - iDataPlex DX360M3,IBM,2014
Canada,Argus - iDataPlex DX360M4,IBM,2014
Japan,Laurel - Xtreme-X,Cray/HPE,2014
China,Cluster Platform SL250s Gen8,HPE,2014
France,Cluster Platform 3000 BL460c Gen8,HPE,2014
United States,Cluster Platform 3000 BL460c G7,HPE,2014
Netherlands,Cartesius - Bullx DLC B710/B720 Blades,Atos,2014
United States,Palmetto2 - Cluster Platform SL250s Gen8,HPE,2014
Switzerland,Monte Rosa - Cray XE6,Cray/HPE,2014
Germany,JUROPA - Sun Constellation,Atos,2014
Japan,Plasma Simulator - Hitachi SR16000 Model M1,Hitachi,2014
Sweden,Lindgren - Cray XE6,Cray/HPE,2014
Japan,iDataPlex DX360M4,IBM/Lenovo,2014
Finland,Cluster Platform SL230s Gen8,HPE,2014
United States,Deepthought2 - Dell C8220/C8220X Cluster,Dell EMC,2014
Australia,xSeries x3650M4 Cluster,IBM,2014
United Kingdom,BladeCenter HS23 Cluster,IBM,2014
Denmark,iDataPlex DX360M3,IBM,2014
Japan,SGI ICE 8400EX Xeon X5570 4-core 2.93 GHz,HPE,2014
Israel,BladeCenter HS23 Cluster,IBM,2014
United States,xSeries x3650 Cluster,IBM,2014
Japan,iDataPlex DX360M4,IBM,2014
Brazil,Grifo06 - Itautec Cluster,Itautec,2014
United States,Diamond - SGI ICE 8200 Enh. LX,HPE,2014
Norway,Hexagon - Cray XE6m-200,Cray/HPE,2014
United States,EL GATO - iDataPlex DX360M4,IBM,2014
United Kingdom,Blue Wonder - iDataPlex DX360M4,IBM,2014
United States,Cluster Platform SL335s Gen7,HPE,2014
United States,Maverick - Cluster Platform SL250s Gen8,HPE,2014
United States,IBM Flex System x240,IBM,2014
United States,iDataPlex DX360M3,IBM,2014
France,Tera-100 Hybrid - Bullx B505,Atos,2014
Netherlands,Cartesius Accelerator Island - Bullx B515 cluster,Atos,2014
Germany,HERMIT - Cray XE6,Cray/HPE,2015
China,Earth System Numerical Simulator - Sugon Cluster TC4600E-LP,Sugon,2015
United Kingdom,HECToR - Cray XE6,Cray/HPE,2015
United States,Palmetto2 - Cluster Platform SL250s Gen8/Lenovo NX360M5,HPE,2015
United States,HPCC - Cluster Platform SL250s Gen8,HPE,2015
United Kingdom,Power 775,IBM,2015
South Korea,Haeon - Cray XE6 12-core 2.1 GHz,Cray/HPE,2015
South Korea,Haedam - Cray XE6 12-core 2.1 GHz,Cray/HPE,2015
Germany,ForHLR1 - MEGWARE MiriQuid,MEGWARE,2015
United States,Constance - Supermico SuperServer 6028TP-HTFR,Atipa Technology,2015
Malaysia,Cluster Platform SL210t,HPE,2015
Belgium,Zenobe - bullx B500/B510 cluster,Atos,2015
Poland,ORION - Dell PowerEdge R730,Dell EMC,2015
South Korea,Cluster Platform DL360p Gen8,HPE,2015
Germany,Hummel - MEGWARE MiriQuid,MEGWARE,2015
France,NEMO - Lenovo NeXtScale nx360M5,Lenovo,2015
United States,IBM Flex System x240,IBM/Lenovo,2015
Japan,Suiren Blue - ExaScaler-1.4 16Brick,PEZY Computing / Exascaler Inc.,2015
United States,Crystal - Cray XC40,Cray/HPE,2015
United States,Cherry Creek - Intel Cluster,Intel,2015
United States,IBM NeXtScale nx360M4,IBM,2015
France,IBM NeXtScale nx360M4,IBM,2015
Australia,Galaxy - Cray XC30,Cray/HPE,2015
France,Ada - xSeries x3750 Cluster,IBM,2015
Germany,Emmy - NEC LX-2400,NEC,2015
Japan,BX900 Xeon X5570 2.93GHz,Fujitsu,2015
United Kingdom,x3650M4 Cluster,IBM,2015
Saudi Arabia,Shaheen - Blue Gene/P Solution,IBM,2015
Russia,Cluster Platform 3000 BL460c Gen8,HPE,2015
France,BlueGene/Q,IBM,2015
Switzerland,CADMOS BG/Q - BlueGene/Q,IBM,2015
Poland,BlueGene/Q,IBM,2015
Germany,OCuLUS (Owl CLUSter) - Clustervision CV-AIRE5,ClusterVision,2015
India,SAGA - Z24XX/SL390s Cluster,Hewlett Packard/WIPRO,2015
United States,Carter - Cluster Platform 3000 SL6500,HPE,2015
Israel,Cluster Platform 3000 BL460c Gen8,HPE,2015
United States,Cray CS300-AC,Cray/HPE,2015
United Kingdom,Darwin - Dell PowerEdge C6220,Dell EMC,2015
United Kingdom,Cluster Platform SL230s Gen8,HPE,2015
China,Magic Cube - Dawning 5000A,Sugon,2015
United States,Storm1 - Cray CS-Storm,Cray/HPE,2015
France,Cluster Platform 3000 BL2x220,HPE,2015
Norway,Abel - MEGWARE MiriQuid,MEGWARE,2015
Taiwan,ALPS - Acer AR585 F1 Cluster,Acer Group,2015
Sweden,Cluster Platform 3000 BL460c/DL380p,HPE,2015
United States,Bean - Cray XC40,Cray/HPE,2015
Russia,RSC PetaStream - RSC PetaStream,RSC Group,2015
Japan,Cluster Platform 3000 BL460c Gen8,HPE,2015
Greece,ARIS - IBM NeXtScale nx360M5,IBM,2015
France,Ivanhoe - iDataPlex,IBM,2015
United States,BladeCenter HS23 Cluster,IBM,2015
China,xSeries x3650M4 Cluster,IBM,2015
United States,BladeCenter HS22 Cluster (WM),IBM,2015
Sweden,Cluster Platform 3000 BL460c Gen8,HPE,2015
France,iDataPlex DX360M4,IBM,2015
United Kingdom,iDataPlex DX360M4,IBM,2015
Germany,Cluster Platform DL360p Gen8,HPE,2015
United States,Sierra - Dell Xanadu 3 Cluster,Dell EMC,2015
Japan,PRIMEHPC FX10,Fujitsu,2015
Germany,LENOX - Lenovo NeXtScale nx360M5,Lenovo,2015
United States,Cray XT5 QC 2.4 GHz,Cray/HPE,2015
United States,xSeries x3650M3 Cluster,IBM,2015
Germany,SuperMUC Phase 2 - IBM NeXtScale nx360M5,Lenovo/IBM,2015
United Kingdom,Cray XC30,Cray/HPE,2015
United States,Hopper - Cray XE6,Cray/HPE,2015
China,HP DL360 Cluster,HPE,2015
Japan,Shoubu - ExaScaler-1.4 80Brick,PEZY Computing / Exascaler Inc.,2015
Poland,Tryton - HP ProLiant XL230a Gen9,Megatel/Action,2015
France,Prolix2 - Bullx DLC B710 Blades,Atos,2015
Germany,CooLMUC 2 - IBM NeXtScale nx360M5,Lenovo/IBM,2015
United States,Gordon - Xtreme-X GreenBlade GB512X,Cray/HPE,2015
United Kingdom,Apollo 6000 XL2x0a,HPE,2015
Switzerland,Piz Kesch - Cray CS-Storm,Cray/HPE,2015
Netherlands,Cluster Platform 3000 BL460c Gen8,HPE,2015
Japan,Cray XC40,Cray/HPE,2015
Mexico,ABACUS I - SGI ICE X,HPE,2015
Japan,HA-PACS TCA - Cray CS300 Cluster,Cray/HPE,2015
South Korea,TachyonII - Sun Blade x6048,Oracle,2015
Spain,TEIDE-HPC - Fujitsu PRIMERGY CX250 S1,Fujitsu,2015
Switzerland,Todi - Cray XK7,Cray/HPE,2015
United States,Laure - SGI ICE X,HPE,2015
Japan,Fujitsu PRIMERGY CX250 & RX300,Fujitsu,2015
United States,HP DL380 Cluster,HPE,2015
United States,xSeries x3650M4 Cluster,IBM/Lenovo,2015
United States,Dark Sand - Appro Xtreme-X Supercomputer,Cray/HPE,2015
United States,Dark Bridge - Appro Xtreme-X Supercomputer,Cray/HPE,2015
Poland,Zeus - Cluster Platform SL390/BL2x220,HPE,2015
Bulgaria,Avitohol - Cluster Platform SL230s Gen8,HPE,2015
Canada,Cluster Platform 3000 BL460c Gen8,HPE,2015
South Korea,SRD CAE - Cluster Platform SL230s Gen8,HPE,2015
Canada,GPC - xSeries iDataPlex,IBM/Lenovo,2015
Japan,TSUBAME-KFC/DL - LX 1U-4GPU/104Re-1G  Cluster,NEC,2015
India,Cluster Platform SL210t,HPE,2015
France,EOS - Bullx DLC B710 Blades,Atos,2015
France,romeo - Bull R421-E3 Cluster,Atos,2015
Hungary,Leó NIIFI-Debrecen - Cluster Platform SL250s Gen8,HPE,2015
Japan,Sango - Supermicro SBI-7228R-T2F,Supermicro,2015
United States,Lonestar 4 - Dell PowerEdge M610 Cluster,Dell EMC,2015
Japan,Camphor - Cray XE6,Cray/HPE,2015
Brazil,Grifo04 - Itautec Cluster,Itautec,2015
Germany,IBM NeXtScale nx360M5,IBM/Lenovo,2015
France,Cluster Platform 3000 BL460c,HPE,2015
Germany,CASE-2 - SGI ICE X,HPE,2015
China,Sugon Cluster TC4600H/W580I,Sugon,2015
Japan,Hitachi SR16000 Model M1,Hitachi,2015
France,HP POD - Cluster Platform 3000 BL260c G6,HPE,2015
China,DLJD - Dell PowerEdge T630,Dell EMC,2015
Germany,bwForCluster MLS&WISO Production - MEGWARE MiriQuid,MEGWARE,2015
United States,Cooley - Cray CS300-AC,Cray/HPE,2015
Canada,Rackable C2112-4G3 Cluster,HPE,2015
United States,Amazon EC2 Cluster Compute Instances - Amazon EC2 Cluster,Self-made,2015
United Kingdom,Wilkes - Dell T620 Cluster,Dell EMC,2015
United States,Cluster Platform SL230s/SL250s,HPE,2015
United States,Cluster Platform SL241n,HPE,2015
United States,Moonlight - Xtreme-X,Cray/HPE,2015
United Kingdom,Cluster Platform SL2500,HPE,2015
France,Jade - SGI ICE 8200EX,HPE,2015
Switzerland,Euler 2 - Cluster Platform 3000 BL460c Gen8,HPE,2015
United States,Loren - Relion 2800GT Cluster,"Penguin Computing, Inc.",2015
United States,Cluster Platform SL210t,HPE,2015
Hong Kong,Cluster Platform DL380p Gen8,HPE,2015
Croatia,BURA - bullx DLC 720,Atos,2015
United States,Mustang - Xtreme-X 1320H-LANL,Cray/HPE,2015
United States,iDataPlex DX360M4,IBM/Lenovo,2015
Japan,Cluster Platform DL160 Gen8,HPE,2015
United Kingdom,IRIDIS 4 - iDataPlex DX360M4,IBM,2015
United States,Cluster Platform DL380e Gen8,HPE,2015
Germany,MOGON - MEGWARE Saxonid 6100,MEGWARE,2015
Japan,HELIOS - Bullx B515 cluster,Atos,2015
China,Cluster Platform DL380e Gen8,HPE,2015
United Kingdom,Blue Wonder - IBM NeXtScale nx360M4,IBM,2015
Germany,bwForCluster MLS&WISO Development - Dalco H88 Cluster,DALCO AG Switzerland,2015
Germany,IO - Supermicro Superserver 1027GR-TSF,sysGen,2015
United States,Cypress - Dell C8220X Cluster,Dell EMC,2015
Germany,RWTH Compute Cluster (RCC) - Bullx B500 Cluster,Atos,2015
Germany,Justus bwForCluster - NEC Green Gem Cluster,NEC,2015
United States,HP DL160 Cluster G6,HPE,2015
United States,xSeries x3650M4 Cluster,IBM,2015
Brazil,Tup - Cray XE6,Cray/HPE,2015
Germany,iDataPlex DX360M4,IBM/Lenovo,2015
China,Sugon Cluster CB60-G16,Sugon,2015
United States,Maia - SGI Rackable C1104G-RP5,HPE,2015
Germany,HLRS2015 - Lenovo NeXtScale nx360M5,Lenovo/IBM,2015
United States,Riptide - iDataPlex DX360M4,IBM,2015
Canada,Power 775,IBM,2015
China,Tianhe-1A Guangzhou Solution - NUDT YH MPP,NUDT,2015
United Kingdom,Cluster Platform 3000 BL460c Gen9,HPE,2015
Saudi Arabia,Aziz - Fujitsu PRIMERGY CX400,Fujitsu,2015
United Kingdom,Cluster Platform 3000 BL460c Gen8,HPE,2015
Germany,Taurus GPUs - Bull bullx R400,Atos,2015
United Kingdom,Cluster Platform SL210t,HPE,2015
China,Cluster Platform DL380p Gen8,HPE,2015
United States,HP DL360 Cluster,HPE,2015
Japan,Suiren - ExaScaler 32U256SC Cluster,PEZY Computing / Exascaler Inc.,2015
Germany,QPACE2 - Aurora Bricks,Eurotech,2015
Switzerland,Piz Daint - Cray XC30,Cray/HPE,2016
France,Beaufix - Bullx DLC B710 Blades,Atos,2016
United States,Cab - Xtreme-X,Cray/HPE,2016
United States,Luna - Xtreme-X GreenBlade GB512X,Cray/HPE,2016
France,airain - Bullx B510,Atos,2016
South Korea,Uri - Cray XC40,Cray/HPE,2016
India,Cluster Platform SL230s Gen8,HPE,2016
Japan,Shirokane3 - HP Apollo 6000 Xl230/250,HPE,2016
United Kingdom,Grace - Lenovo NeXtScale nx360M5,Lenovo,2016
Japan,Fujitsu PRIMERGY CX400,Fujitsu,2016
United States,SGI ICE X,HPE,2016
United States,Cluster Platform 4000 BL465c,HPE,2016
United States,Pecos - Xtreme-X,Cray/HPE,2016
United States,Ada - IBM NeXtScale nx360M4,IBM/Lenovo,2016
Australia,CSIRO GPU Cluster - Nitro G16 3GPU,Xenon Systems,2016
Germany,BinAC GPU - MEGWARE MiriQuid,MEGWARE,2016
India,Cluster Platform 3000 BL460c Gen8,HPE,2016
Belgium,Zenobe - bullx B510/B520,Atos,2016
United States,Chama - Xtreme-X GreenBlade GB512X,Cray/HPE,2016
United States,Kilrain - iDataPlex DX360M4,IBM,2016
United States,Haise - iDataPlex DX360M4,IBM,2016
Sweden,Bifrost - ClusterVision RS720Q/RS700,ClusterVision,2016
United States,HP Apollo 6000 Xl230/250,HPE,2016
United States,Zeus - SGI ICE 8400EX,HPE,2016
Brazil,Santos Dumont CPU - Bullx B71x,Atos,2016
United States,Keeneland - Cluster Platform SL250s Gen8,HPE,2016
United Kingdom,Blackthorn - Bullx B510,Atos,2016
Australia,Phoenix - Lenovo NeXtScale nx360M5,Lenovo,2016
India,Cluster Platform SL250s Gen8,HPE,2016
Germany,ASUS ESC4000 FDR/G2S,"AMD, ASUS, FIAS, GSI",2016
Finland,Apollo 6000 XL230a,HPE,2016
China,Cluster Platform 3000 BL460c,HPE,2016
China,Sugon Cluster W780I,Sugon,2016
China,VPSystem - Sugon TC6000,Sugon,2016
Finland,Cluster Platform DL380,HPE,2016
Japan,magnolia - Cray XC40,Cray/HPE,2016
Japan,Cluster Platform SL230s Gen8,HPE,2016
China,IMGSystem - Sugon Cluster,Sugon,2016
United States,Hercules - iDataPlex DX360M4,IBM,2016
Germany,Minerva - Clustervision MD30-RS0,Gigabyte/ClusterVision,2016
China,XingGui - Dell C4130,Dell EMC,2016
China,CSG 1 - Lenovo x3950,Lenovo,2016
Germany,LOEWE-CSC - SuperServer 2022TG-GIBQRF,Clustervision/Supermicro,2016
United States,Atipa Cluster,Atipa Technology,2016
United States,Gaea C1 - Cray XE6,Cray/HPE,2016
South Korea,Cluster Platform 3000 BL460c Gen8,HPE,2016
United States,Cray XE6 12-core 2.2 GHz,Cray/HPE,2016
China,Magic Cube - II - Sugon Cluster TC4600E,Sugon,2016
France,Tera-1000-1-Hybrid - Bull R421-E4 Cluster,Atos,2016
Germany,bwForCluster MLS&WISO Production WAN - MEGWARE MiriQuid,MEGWARE,2016
Japan,Satsuki - ZettaScaler-1.6,PEZY Computing / Exascaler Inc.,2016
Russia,Lobachevsky - GPU Blade Cluster,"Niagara Computers, Supermicro",2016
Russia,RSC Tornado SUSU - RSC Tornado,RSC Group,2016
France,Occigen - bullx  DLC,Atos,2016
Australia,Fujitsu PRIMERGY CX250 S1,Fujitsu,2016
Spain,MareNostrum - iDataPlex DX360M4,IBM,2016
United States,Zenith - Dell PowerEdge C6320 & Dell PowerEdge R630,Dell EMC,2016
Germany,QPACE3 - PRIMERGY CX1640 M1,Fujitsu,2016
France,Manny - bullx DLC 720,Atos,2016
United Kingdom,Helen - SGI ICE X,HPE,2016
China,DLJD-2 - Sugon W580-G20/Dell C4130,Dell/Sugon,2016
United States,SciPhi XVI - KOI Cluster,Koi Computers,2016
Poland,Świerk Computing Centre - Supermicro TwinBlade SBI-7227R/Bull DLC B720,Atos,2016
Japan,HA-PACS - Xtreme-X GreenBlade 8204,Cray/HPE,2016
South Korea,Cluster Platform SL230s Gen8,HPE,2016
United States,Cluster Platform DL360p Gen8,HPE,2016
United States,Discover - iDataPlex DX360M4,IBM,2016
United States,yoda - EXXACT TXR410-768R Cluster,EXXACT Corporation,2016
Austria,Cluster Platform DL380,HPE,2016
United States,HPCEE - SGI Rackable C2112-4RP3,HPE,2016
Denmark,Computerome - Apollo 6000 XL230a,HPE,2016
United States,Cluster Platform 3000 BL460c,HPE,2016
Sweden,Triolith - Cluster Platform SL230s Gen8,HPE,2016
United States,Rice - Cluster Platform DL60,HPE,2016
China,Era - TC4600H/W580I,Sugon,2016
Brazil,CIMATEC Yemoja - SGI ICE X,HPE,2016
United States,Katie - Cray CS-Storm,Cray/HPE,2016
Japan,HP Apollo XL1x0r,HPE,2016
Germany,HPC4 - HP POD - Cluster Platform BL460c,HPE,2016
Norway,SGI ICE X,HPE,2016
United States,Midway2 - Lenovo NeXtScale nx360M5,Lenovo,2016
United States,Cluster Platform DL360p,HPE,2016
Germany,Cluster Platform 3000 BL460c Gen8,HPE,2016
France,Datarmor - SGI ICE XA,HPE,2016
India,PARAM Yuva - II - R2208GZ Cluster,Netweb Technologies,2016
United States,Iceberg - SGI ICE X,HPE,2016
Japan,camellia - Cray XC30,Cray/HPE,2016
France,Sequana BXI - Bull Sequana,Atos,2016
Russia,MVS-10P - RSC Tornado,RSC Group,2016
Russia,HPC4/HPC5 - SuperMicro Twin^2,SuperMicro/Mellanox,2016
China,Lenovo x3750,Lenovo,2016
United States,Cluster Platform SL250s Gen8,HPE,2016
Switzerland,FusionServer XH620 V3 Cluster,"Huawei Technologies Co., Ltd.",2016
Germany,CooLMUC 2 - NeXtScale nx360M5,Lenovo/IBM,2016
China,Cluster Platform DL360p Gen8,HPE,2016
Germany,Ollie - Cray CS400,Cray/HPE,2016
Germany,EOS - Cray CS400,Cray/HPE,2016
Japan,"Supercomputer System for Statistical Science ""I"" - SGI ICE X",HPE,2016
Brazil,Santos Dumont Hybrid - Bullx B710,Atos,2016
China,RH1288 V3 Cluster,"Huawei Technologies Co., Ltd.",2016
China,Lenovo x3850,Lenovo,2016
China,DLJD - Dell PowerEdge T630/Sugon W580,Dell EMC,2016
China,Lenovo x240 M5/nx360 M5,Lenovo,2016
United States,Vesta - BlueGene/Q,IBM,2016
China,PLearningSystem - Sugon Cluster,Sugon,2016
China,Sugon TC5000,Sugon,2016
France,Athos - iDataPlex DX360M4,IBM,2016
United States,Cluster Platform DL360e Gen8,HPE,2016
United States,Pershing - iDataPlex DX360M4,IBM,2016
United States,Stampede2 - PowerEdge C6320P,Dell EMC,2017
United States,Stampede - PowerEdge C8220,Dell EMC,2017
Italy,Fermi - BlueGene/Q,IBM,2017
Japan,Gyoukou - ZettaScaler-2.0 HPC system,ExaScaler,2017
Germany,JURECA - T-Platforms V-Class,"T-Platforms, Intel, Dell",2017
Japan,Helios - Bullx B510,Atos,2017
United States,Electra - SGI ICE X,HPE,2017
United States,Biowulf - HP Apollo XL1x0r,HPE,2017
United States,Stampede-KNL - Intel S7200AP Cluster,Dell / Intel,2017
United States,Endeavor II - Intel Cluster,Intel,2017
United States,Endeavor I - Intel Cluster,Intel,2017
Germany,Huawei XH321 V3/XH620 V3 Cluster,"Huawei Technologies Co., Ltd.",2017
United States,SGI ICE XA,HPE,2017
Germany,Mogon II - MEGWARE MiriQuid,NEC/MEGWARE,2017
United States,Discover SCU12 - Rackable Cluster,HPE,2017
Belgium,BrENIAC - NEC HPC1816Rg,NEC,2017
United States,Zenith - Dell PowerEdge C6320 & R630,Dell EMC,2017
Japan,SAKURA - BlueGene/Q,IBM,2017
Japan,HIMAWARI - BlueGene/Q,IBM,2017
United States,Laconia - Lenovo NeXtScale nx360M5,Lenovo,2017
United States,Sky Bridge - Cray CS300-LC,Cray/HPE,2017
Saudi Arabia,SANAM - Adtech,Adtech,2017
Germany,NEMO bwForCluster - Dalco H88 Cluster,DALCO AG Switzerland,2017
India,HP Apollo 6000 Xl230/250,HPE,2017
Canada,Cluster Platform DL360,HPE,2017
United Kingdom,Lenovo NeXtScale nx360M5,Lenovo,2017
United Kingdom,Blue Crystal v4 - Lenovo NeXtScale nx360M5,Lenovo,2017
France,HPC4 - HP POD - Cluster Platform BL460c,HPE,2017
United States,Armstrong - Cray XC30,Cray/HPE,2017
Germany,FusionServer RH1288 V3/XH620 V3,"Huawei Technologies Co., Ltd.",2017
United Kingdom,Peta4-KNL - PowerEdge C6320,Dell EMC,2017
France,PORTHOS - IBM NeXtScale nx360M5,IBM,2017
United States,Bluecrab - Dell PowerEdge R730,Dell EMC,2017
Germany,Cluster Platform 3000 BL460c Gen9,HPE,2017
China,Sugon Cluster W580I,Sugon,2017
United Kingdom,Athena - Huawei X6000,ClusterVision,2017
China,Mole-8.5 - Mole-8.5 Cluster,"IPE, Nvidia, Tyan",2017
China,Service Provider A1 - Lenovo RD940,Lenovo,2017
United Kingdom,JADE - NVIDIA DGX-1,Atos,2017
South Korea,Cluster Platform DL360,HPE,2017
Germany,magnitUDE - NEC Cluster,NEC,2017
Saudi Arabia,Unayzah - Lenovo NeXtScale nx360M5/x3550 M5,Lenovo,2017
United States,Amazon EC2 C3 Instance cluster - Amazon EC2 Cluster,Self-made,2017
Denmark,Vestas1 - Lenovo NeXtScale nx360M5,Lenovo,2017
Germany,Meggie - MEGWARE MiriQuid,MEGWARE,2017
United States,Cluster Platform 3000 BL460c Gen8,HPE,2017
United States,Shepard - Cray XC30,Cray/HPE,2017
United States,Mesabi - HP Apollo 6000 Xl230/250,HPE,2017
South Korea,iREMB - Cluster Platform DL380,HPE,2017
United States,Shadow - Cray CS300-LC,Cray/HPE,2017
Denmark,Abacus 2.0 - Lenovo NeXtScale nx360M5,Lenovo,2017
United States,Cluster Platform SL390s G7,HPE,2017
United States,Cluster Platform DL380 Cluster,HPE,2017
Japan,kukai - ZettaScaler-1.6 GPGPU system,ExaScaler,2017
United States,Hōkūle’a - IBM Power Systems S822LC,IBM,2017
Japan,Reedbush-U - Rackable C2112-4GP3 Cluster,HPE,2017
Australia,Cluster Platform DL360,HPE,2017
United States,Cluster Platform SL230s Gen8,HPE,2017
Germany,CARL - Lenovo NeXtScale nx360M5,Lenovo,2017
Brazil,Santos Dumont GPU - Bullx B710,Atos,2017
Germany,FusionServer XH620 V3 Cluster,"Huawei Technologies Co., Ltd.",2017
Italy,HPCC1 - iDataPlex DX360M4,IBM,2017
China,DPCluster - Sugon TC6000,Sugon,2017
Brazil,Cluster Platform DL360,HPE,2017
Germany,QPACE 3 - PRIMERGY CX1640 M1,Fujitsu,2017
Saudi Arabia,Makman - iDataPlex DX360M4,IBM/Lenovo,2017
Poland,RH1288 V3 Cluster,"Huawei Technologies Co., Ltd.",2017
Sweden,Kebnekaise - Lenovo NeXtScale nx360M5,Lenovo,2017
China,IBM Flex System p460,IBM,2017
United States,Red Sky - Sun Blade x6275,Oracle,2017
Japan,Gyoukou - ZettaScaler-2.2 HPC system,ExaScaler,2017
Germany,JUQUEEN - BlueGene/Q,IBM,2017
France,Tera-1000-2-Part 1 - Bull Sequana X1000,Atos,2017
United States,Cielo - Cray XE6,Cray/HPE,2017
Japan,Oakleaf-FX - PRIMEHPC FX10,Fujitsu,2017
Japan,Aterui - Cray XC40,Cray/HPE,2017
Australia,Avoca - BlueGene/Q,IBM,2017
United States,Owens - Dell PowerEdge C6320/R730,Dell EMC,2017
United States,Tide - iDataPlex DX360M4,IBM,2017
United States,Gyre - iDataPlex DX360M4,IBM,2017
China,Internet Company N C1 - Lenovo RD450,Lenovo,2017
China,AMSS - Lenovo SD530,Lenovo,2017
Poland,BEM - Actina Solar 820 S6,ACTION,2017
Saudi Arabia,Dammam - Dell PowerEdge R630,Dell EMC,2017
United States,Atipa HPC Linux Cluster,Atipa Technology,2017
United States,Thor - Cluster Platform 3000 BL460c Gen9,HPE,2017
France,Occigen2 - bullx DLC 720,Atos,2017
Italy,GALILEO - IBM NeXtScale nx360M4,IBM/Lenovo,2017
China,DH-DPSystem - HC2000 Cluster,Sugon,2017
China,IntelCluster - Sugon TC4600,Sugon,2017
China,Government K1 - Lenovo NeXtScale nx360M5,Lenovo,2017
Netherlands,Cluster Platform DL380,HPE,2017
China,Lenovo RD940,Lenovo,2017
Russia,Polytechnic RSC Tornado - RSC Tornado,RSC Group,2017
Japan,RAIDEN GPU subsystem - NVIDIA DGX-1,Fujitsu,2017
China,EPRI - Sugon TC4600LP,Sugon,2017
France,Cluster Platform DL360,HPE,2017
United States,Cluster Platform DL380p Gen8,HPE,2017
United States,Lenovo ThinkServer RD350G,Lenovo,2017
United States,HPCC - Cluster Platform SL250s Gen8/Lenovo nx360M5,HPE,2017
